"id","name","website","canonical_domain","status","inclusion_hint","discovery_sources","source_contexts","first_seen","last_seen","notes"
"cand-aialignmentfoundation-org","AI Alignment Foundation (AIAF)","https://www.aialignmentfoundation.org/","aialignmentfoundation.org","new","borderline","discovery-aisafety-map","Funding, Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aifutures-org","AI Futures Project (AIFP)","https://www.aifutures.org/","aifutures.org","new","borderline","discovery-aisafety-map","Forecasting","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aifuturesproject-org","Aifuturesproject","https://aifuturesproject.org/","aifuturesproject.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aigi-ox-ac-uk","Oxford Martin AI Governance Initiative (AIGI)","https://aigi.ox.ac.uk/","aigi.ox.ac.uk","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aigs-ca","AI Governance & Safety Canada (AIGS Canada)","https://aigs.ca/","aigs.ca","new","borderline","discovery-aisafety-map|discovery-failure-first","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aigsi-org","AI Governance and Safety Institute (AIGSI)","https://aigsi.org/","aigsi.org","new","borderline","discovery-aisafety-map","Strategy, Advocacy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aiimpacts-org","AI Impacts","https://aiimpacts.org/","aiimpacts.org","new","borderline","discovery-aisafety-map","Strategy, Forecasting","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aipolicyinstitute-org","Aipolicyinstitute","https://aipolicyinstitute.org/","aipolicyinstitute.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-airiskdeployer-org","Deployer AI Risk Register","https://www.airiskdeployer.org/","airiskdeployer.org","new","likely-core","discovery-mindxo-atlas","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-airiskfund-com","AI Risk Mitigation (ARM) Fund","https://www.airiskfund.com/","airiskfund.com","new","borderline","discovery-aisafety-map","Funding","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisafety-camp","AI Safety Camp (AISC)","https://aisafety.camp/","aisafety.camp","new","borderline","discovery-aisafety-map|discovery-failure-first","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisafety-com","Aisafety","https://www.aisafety.com/","aisafety.com","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisafety-sg","Singapore AI Safety Hub (SASH)","https://www.aisafety.sg/","aisafety.sg","new","borderline","discovery-aisafety-map","Research support, Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisafety-training","Aisafety","https://aisafety.training/","aisafety.training","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisafetyawarenessproject-org","AI Safety Awareness Project (AISAP)","https://aisafetyawarenessproject.org/","aisafetyawarenessproject.org","new","borderline","discovery-aisafety-map","Advocacy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisb-dev","AI Security Bootcamp (AISB)","https://aisb.dev/","aisb.dev","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisfoundation-ai","AI Safety Foundation","https://www.aisfoundation.ai/","aisfoundation.ai","new","borderline","discovery-aisafety-map","Advocacy, Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisi-go-jp","Japan AI Safety Institute (J-AISI)","https://aisi.go.jp/index.html","aisi.go.jp","new","likely-context","discovery-naaimes-members","Government evaluation and measurement institute","2026-09-15","2026-09-15","Confirmed as an active institute on its official website; legal parentage and all graph claims still require canonical review."
"cand-aisi-gov-uk","UK AI Security Institute (UK AISI)","https://www.aisi.gov.uk/","aisi.gov.uk","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map|discovery-failure-first|discovery-maisi|discovery-naaimes-members","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aisi-re-kr","Korea AI Safety Institute","https://www.aisi.re.kr/","aisi.re.kr","new","likely-context","discovery-naaimes-members","Government evaluation and measurement institute","2026-09-15","2026-09-15","Confirmed by the Korean Ministry of Science and ICT launch record; its own website and all graph claims still require canonical review."
"cand-aistandardslab-org","AI Standards Lab","https://www.aistandardslab.org/","aistandardslab.org","new","borderline","discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aiwi-org","The AI Whistleblower Initiative (AIWI)","https://aiwi.org/","aiwi.org","new","borderline","discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aixi-uk","AIXI Labs","https://www.aixi.uk/","aixi.uk","new","borderline","discovery-aisafety-map","Conceptual research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ajl-org","Ajl","https://www.ajl.org/","ajl.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-algorithmicalignment-csail-mit-edu","MIT Algorithmic Alignment Group","https://algorithmicalignment.csail.mit.edu/","algorithmicalignment.csail.mit.edu","new","borderline","discovery-aisafety-map","Conceptual research, Empirical research, Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-algoverseairesearch-org","Algoverse AI Safety","https://algoverseairesearch.org/","algoverseairesearch.org","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-alignment-dev","Alignment Ecosystem Development (AED)","https://alignment.dev/","alignment.dev","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-alignment-org","Alignment Research Center (ARC)","https://www.alignment.org/","alignment.org","new","borderline","discovery-aisafety-map|discovery-maisi","Conceptual research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-alltechishuman-org","Alltechishuman","https://alltechishuman.org/","alltechishuman.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-alter-org-il","Association for Long Term Existence and Resilience (ALTER)","https://alter.org.il/","alter.org.il","new","borderline","discovery-aisafety-map","Conceptual research, Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-amnesty-org","Amnesty","https://www.amnesty.org/","amnesty.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-apartresearch-com","Apart Fellowship","https://apartresearch.com/","apartresearch.com","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-arbital-greaterwrong-com","Arbital","https://arbital.greaterwrong.com/","arbital.greaterwrong.com","new","borderline","discovery-aisafety-map","Conceptual research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-arcadiaimpact-org","AI Governance Taskforce","https://www.arcadiaimpact.org/","arcadiaimpact.org","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-arena-education","Alignment Research Engineer Accelerator (ARENA)","https://www.arena.education/","arena.education","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ari-us","Americans for Responsible Innovation (ARI)","https://ari.us/","ari.us","new","borderline","discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aria-org-uk","Advanced Research + Invention Agency (ARIA)","https://www.aria.org.uk/","aria.org.uk","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map","Funding","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-arva-org","Arva","https://arva.org/","arva.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ashgro-org","Ashgro","https://www.ashgro.org/","ashgro.org","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-astera-org","Astera Neuro-AI","https://astera.org/","astera.org","new","borderline","discovery-aisafety-map","Capabilities research, Conceptual research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-astralisfoundation-org","Astralis Foundation","https://astralisfoundation.org/","astralisfoundation.org","new","borderline","discovery-aisafety-map","Funding","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-atlas-mitre-org","MITRE ATLAS","https://atlas.mitre.org/","atlas.mitre.org","new","borderline","discovery-ai-safety-guide","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-atlascomputing-org","Atlas Computing","https://atlascomputing.org/","atlascomputing.org","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-averi-org","AI Verification and Evaluation Research Institute","https://www.averi.org/","averi.org","new","likely-core","discovery-aef-members|discovery-aisafety-map","Governance, Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-baseresearch-org","BASE Fellowship","https://www.baseresearch.org/","baseresearch.org","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-beijing-ai-safety-and-governance-institute","Beijing Institute of AI Safety and Governance (Beijing-AISI)","https://beijing.ai-safety-and-governance.institute/","beijing.ai-safety-and-governance.institute","new","borderline","discovery-aisafety-map","Governance, Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-beneficialaifoundation-org","Beneficial AI Foundation (BAIF)","https://www.beneficialaifoundation.org/","beneficialaifoundation.org","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-bluedot-org","BlueDot Impact","https://bluedot.org/","bluedot.org","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map|discovery-failure-first","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-brookings-edu","Brookings","https://www.brookings.edu/","brookings.edu","new","borderline","discovery-ai-safety-guide|discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-buildaligned-ai","Aligned AI","https://buildaligned.ai/","buildaligned.ai","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cadenzalabs-org","Cadenza Labs","https://cadenzalabs.org/","cadenzalabs.org","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-caish-org","Mentorship for Alignment Research Students (MARS)","https://caish.org/","caish.org","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-camlin-co","Camlin","https://camlin.co/","camlin.co","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-carma-org","Center for AI Risk Management & Alignment (CARMA)","https://carma.org/","carma.org","new","borderline","discovery-aisafety-map","Strategy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-carnegieendowment-org","Carnegieendowment","https://carnegieendowment.org/","carnegieendowment.org","new","borderline","discovery-ai-safety-guide|discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-casp-ac","Cambridge Programme on AI Science & Policy (CASP)","https://casp.ac/","casp.ac","new","borderline","discovery-aisafety-map","Empirical research, Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-catalyze-impact-org","Catalyze Impact","https://catalyze-impact.org/","catalyze-impact.org","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cavendishlabs-org","Cavendish Labs","https://cavendishlabs.org/","cavendishlabs.org","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cbai-ai","Cambridge Boston Alignment Initiative (CBAI)","https://www.cbai.ai/","cbai.ai","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cbl-eng-cam-ac-uk","Computational and Biological Learning Lab (CBL)","https://cbl.eng.cam.ac.uk/","cbl.eng.cam.ac.uk","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cdt-org","Cdt","https://cdt.org/","cdt.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ceealar-org","Centre for Enabling EA Learning & Research (CEEALAR aka EA Hotel)","https://www.ceealar.org/","ceealar.org","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-centerforhealthsecurity-org","Centerforhealthsecurity","https://www.centerforhealthsecurity.org/","centerforhealthsecurity.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cesia-org","Centre pour la Sécurité de l'IA (CeSIA)","https://www.cesia.org/","cesia.org","new","borderline","discovery-aisafety-map","Governance, Strategy, Advocacy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cfg-eu","Centre for Future Generations (CFG)","https://cfg.eu/","cfg.eu","new","borderline","discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cifar-ca","Cifar","https://cifar.ca/","cifar.ca","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cigionline-org","Cigionline","https://www.cigionline.org/research","cigionline.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cip-org","Collective Intelligence Project","https://www.cip.org/","cip.org","new","likely-core","discovery-aef-members","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ciss-tsinghua-edu-cn","Tsinghua Center for International Security and Strategy","https://ciss.tsinghua.edu.cn/","ciss.tsinghua.edu.cn","new","borderline","discovery-ai-safety-guide","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-clair-ai-org","Center for Law & AI Risk (CLAIR)","https://clair-ai.org/","clair-ai.org","new","borderline","discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cloudsecurityalliance-org","Cloud Security Alliance","https://cloudsecurityalliance.org/","cloudsecurityalliance.org","new","borderline","discovery-ai-safety-guide","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cltc-berkeley-edu","Center for Long-Term Cybersecurity (CLTC)","https://cltc.berkeley.edu/","cltc.berkeley.edu","new","borderline","discovery-aisafety-map","Empirical research, Governance, Strategy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cnaisi-cn","China Al Safety & Development Association (CnAISDA)","https://cnaisi.cn/","cnaisi.cn","new","borderline","discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-coalitionforsecureai-org","Coalition for Secure AI","https://www.coalitionforsecureai.org/","coalitionforsecureai.org","new","borderline","discovery-ai-safety-guide","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-compassionml-com","Compassion Aligned Machine Learning (CaML)","https://www.compassionml.com/","compassionml.com","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-concordia-ai-com","Concordia AI","https://concordia-ai.com/","concordia-ai.com","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-conjecture-dev","Conjecture","https://www.conjecture.dev/","conjecture.dev","new","borderline","discovery-aisafety-map|discovery-failure-first","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-constellation-org","Constellation Visiting Fellows","https://constellation.org/","constellation.org","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-contramont-org","Contramont Research","https://contramont.org/","contramont.org","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-controlai-org","ControlAI","https://controlai.org/","controlai.org","new","borderline","discovery-aisafety-map","Governance, Advocacy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-convergenceanalysis-org","Convergence Analysis","https://www.convergenceanalysis.org/","convergenceanalysis.org","new","borderline","discovery-aisafety-map","Strategy, Advocacy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cooperativeai-com","Cooperative AI Foundation (CAIF)","https://www.cooperativeai.com/","cooperativeai.com","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map","Funding","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-coral-research-org","Computational Rational Agents Laboratory (CORAL)","https://coral-research.org/","coral-research.org","new","borderline","discovery-aisafety-map","Conceptual research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-csa-gov-sg","Cyber Security Agency of Singapore","https://www.csa.gov.sg/","csa.gov.sg","new","borderline","discovery-ai-safety-guide","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cser-ac-uk","Centre for the Study of Existential Risk (CSER)","https://www.cser.ac.uk/","cser.ac.uk","new","borderline","discovery-aisafety-map|discovery-failure-first","Strategy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cset-georgetown-edu","Center for Security and Emerging Technology (CSET)","https://cset.georgetown.edu/","cset.georgetown.edu","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map|discovery-failure-first","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cyber-fsi-stanford-edu","Cyber","https://cyber.fsi.stanford.edu/","cyber.fsi.stanford.edu","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-cyber-harvard-edu","Cyber","https://cyber.harvard.edu/","cyber.harvard.edu","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-darpa-mil","Defense Advanced Research Projects Agency","https://www.darpa.mil/","darpa.mil","new","borderline","discovery-ai-safety-guide","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-datasociety-net","Datasociety","https://datasociety.net/","datasociety.net","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-deepseek-com","DeepSeek","https://www.deepseek.com/","deepseek.com","new","borderline","discovery-aisafety-map","Capabilities research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-digital-strategy-ec-europa-eu","European AI Office","https://digital-strategy.ec.europa.eu/en/policies/ai-office","digital-strategy.ec.europa.eu","new","borderline","discovery-ai-safety-guide|discovery-aisafety-map|discovery-failure-first|discovery-naaimes-members","Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-dovetailresearch-org","Dovetail Research Fellowship","https://dovetailresearch.org/","dovetailresearch.org","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-effectiveinstitutionsproject-org","Effective Institutions Project (EIP)","https://effectiveinstitutionsproject.org/","effectiveinstitutionsproject.org","new","borderline","discovery-aisafety-map","Governance, Strategy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-effectivethesis-org","Effective Thesis Fellowship","https://www.effectivethesis.org/","effectivethesis.org","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-eleuther-ai","EleutherAI","https://www.eleuther.ai/","eleuther.ai","new","borderline","discovery-aisafety-map","Empirical research, Capabilities research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-enais-co","European Network for AI Safety (ENAIS)","https://enais.co/","enais.co","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-encodeai-org","Encode","https://encodeai.org/","encodeai.org","new","borderline","discovery-aisafety-map","Governance, Advocacy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-engagedbuddhists-ai","Buddhism & AI Initiative","https://www.engagedbuddhists.ai/","engagedbuddhists.ai","new","borderline","discovery-aisafety-map","Advocacy, Governance, Strategy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-enisa-europa-eu","European Union Agency for Cybersecurity","https://www.enisa.europa.eu/","enisa.europa.eu","new","borderline","discovery-ai-safety-guide","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-epoch-ai","Epoch AI","https://epoch.ai/","epoch.ai","new","borderline","discovery-aisafety-map","Forecasting, Strategy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-epochai-org","Epochai","https://epochai.org/","epochai.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-eq-network-org","Equilibria Network","https://eq-network.org/","eq-network.org","new","borderline","discovery-aisafety-map","Conceptual research, Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-equistamp-com","EquiStamp","https://www.equistamp.com/","equistamp.com","new","borderline","discovery-aisafety-map","Research support","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
